session_id,timestamp,symbol,price,bue,delta,signal,value_estimate,action,pnl,close_reason,equity
20250608_003002,2025-06-08 00:33:40,USDT,1.0,0.99450404,-0.5495959999999966,HOLD,19.8900808,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,BNB,652.22,656.27343416,0.6214826530925053,HOLD,20.1242965306185,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,USDT,1.0,1.00171191,0.17119100000000387,HOLD,20.0342382,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,XRP,2.18,2.1759645,-0.18511467889908625,HOLD,19.962977064220183,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,SOL,151.22,150.61606124,-0.3993775691046194,HOLD,19.920124486179077,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,XRP,2.18,2.16540264,-0.6696036697247809,HOLD,19.866079266055042,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,BNB,652.22,649.95501373,-0.34727335408297944,HOLD,19.930545329183403,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,USDC,0.99978,0.99744403,-0.2336484026485792,HOLD,19.953270319470285,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,BNB,652.22,656.47389802,0.6522182729753689,HOLD,20.130443654595073,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,SOL,151.22,150.31539936,-0.5982017193493007,HOLD,19.88035965613014,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,DOGE,0.186086,0.18563707,-0.24124866996980643,HOLD,19.951750266006037,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,SOL,151.22,150.24157873,-0.6470184301018467,HOLD,19.870596313979632,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,USDC,0.99978,1.00453954,0.47605873292123224,HOLD,20.095211746584244,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,TRX,0.280867,0.28097174,0.03729167185893949,HOLD,20.007458334371787,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,USDC,0.99978,1.00675264,0.6974174318350012,HOLD,20.139483486367,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,DOGE,0.186086,0.18537315,-0.38307556721086744,HOLD,19.923384886557827,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,ADA,0.665243,0.66696642,0.2590662359468525,HOLD,20.05181324718937,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,DOGE,0.186086,0.18519434,-0.47916554711261916,HOLD,19.90416689057748,SCAN,0,N/A,1000.0
